,config_0,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9
0,0.24,0.2,0.24,0.2,0.24,0.44,0.28,0.4,0.56,0.2
1,0.32,0.32,0.48,0.2,0.72,0.48,0.2,0.36,0.24,0.2
2,0.68,0.44,0.44,0.2,0.72,0.4,0.16,0.2,0.2,0.28
3,0.48,0.32,0.24,0.16,0.52,0.32,0.32,0.24,0.36,0.4
4,0.76,0.28,0.28,0.4,0.52,0.36,0.56,0.12,0.48,0.32
5,0.56,0.36,0.28,0.36,0.68,0.32,0.36,0.12,0.68,0.4
6,0.44,0.72,0.24,0.48,0.32,0.44,0.44,0.2,0.4,0.24
7,0.44,0.24,0.4,0.48,0.36,0.56,0.44,0.36,0.28,0.24
8,0.48,0.4,0.28,0.28,0.44,0.32,0.28,0.44,0.36,0.48
9,0.48,0.48,0.28,0.24,0.2,0.44,0.2,0.2,0.48,0.44
10,0.48,0.36,0.24,0.32,0.36,0.44,0.32,0.2,0.44,0.28
11,0.8,0.32,0.24,0.16,0.64,0.56,0.24,0.24,0.2,0.2
12,0.56,0.6,0.28,0.36,0.44,0.4,0.52,0.28,0.32,0.16
13,0.52,0.36,0.2,0.12,0.72,0.48,0.32,0.48,0.44,0.52
14,0.44,0.4,0.56,0.16,0.6,0.44,0.24,0.28,0.64,0.48
15,0.64,0.76,0.44,0.24,0.36,0.52,0.16,0.28,0.24,0.52
16,0.56,0.4,0.24,0.36,0.32,0.4,0.16,0.44,0.68,0.48
17,0.4,0.32,0.44,0.32,0.52,0.48,0.2,0.32,0.44,0.28
18,0.48,0.64,0.28,0.2,0.28,0.72,0.28,0.32,0.52,0.24
19,0.2,0.48,0.44,0.2,0.24,0.28,0.64,0.24,0.36,0.2
20,0.44,0.44,0.44,0.36,0.28,0.52,0.24,0.4,0.36,0.12
21,0.36,0.56,0.4,0.4,0.44,0.36,0.2,0.32,0.6,0.44
22,0.64,0.44,0.2,0.32,0.56,0.44,0.2,0.32,0.32,0.36
23,0.68,0.4,0.28,0.32,0.32,0.2,0.24,0.2,0.32,0.24
24,0.4,0.4,0.12,0.36,0.64,0.48,0.36,0.24,0.44,0.2
25,0.48,0.64,0.6,0.2,0.68,0.4,0.68,0.44,0.52,0.36
26,0.36,0.44,0.4,0.36,0.76,0.52,0.32,0.44,0.52,0.52
27,0.48,0.92,0.12,0.2,0.28,0.56,0.36,0.68,0.28,0.4
28,0.36,0.68,0.4,0.36,0.32,0.6,0.4,0.32,0.36,0.24
29,0.28,0.32,0.2,0.64,0.44,0.44,0.52,0.48,0.4,0.4
