,config_0,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9
0,0.24,0.2,0.24,0.28,0.24,0.56,0.4,0.24,0.24,0.4
1,0.28,0.4,0.4,0.24,0.68,0.2,0.36,0.52,0.64,0.28
2,0.36,0.36,0.24,0.4,0.36,0.24,0.36,0.28,0.68,0.4
3,0.56,0.32,0.36,0.4,0.4,0.4,0.44,0.24,0.32,0.6
4,0.44,0.24,0.28,0.28,0.32,0.2,0.24,0.32,0.36,0.48
5,0.32,0.36,0.24,0.2,0.52,0.2,0.24,0.36,0.28,0.68
6,0.24,0.44,0.44,0.28,0.2,0.28,0.28,0.12,0.44,0.28
7,0.6,0.44,0.28,0.2,0.6,0.4,0.24,0.2,0.4,0.36
8,0.28,0.6,0.16,0.28,0.28,0.24,0.2,0.4,0.36,0.28
9,0.28,0.2,0.68,0.44,0.68,0.36,0.2,0.2,0.28,0.24
10,0.32,0.24,0.48,0.24,0.28,0.4,0.36,0.2,0.28,0.2
11,0.4,0.52,0.48,0.2,0.44,0.36,0.48,0.2,0.2,0.32
12,0.44,0.28,0.44,0.4,0.52,0.56,0.28,0.28,0.2,0.16
13,0.48,0.44,0.36,0.2,0.44,0.28,0.2,0.32,0.52,0.36
14,0.28,0.36,0.28,0.4,0.36,0.52,0.36,0.4,0.32,0.2
15,0.24,0.32,0.4,0.2,0.32,0.6,0.08,0.2,0.16,0.48
16,0.28,0.4,0.28,0.32,0.24,0.52,0.32,0.32,0.32,0.24
17,0.36,0.44,0.24,0.24,0.48,0.32,0.24,0.28,0.16,0.4
18,0.56,0.2,0.36,0.4,0.52,0.48,0.4,0.44,0.32,0.4
19,0.44,0.56,0.28,0.24,0.52,0.68,0.16,0.24,0.32,0.24
20,0.4,0.2,0.44,0.2,0.2,0.44,0.52,0.44,0.44,0.24
21,0.36,0.36,0.68,0.2,0.24,0.44,0.28,0.2,0.24,0.24
22,0.24,0.6,0.2,0.28,0.56,0.32,0.48,0.32,0.2,0.2
23,0.52,0.56,0.32,0.56,0.32,0.44,0.32,0.28,0.44,0.6
24,0.48,0.36,0.24,0.28,0.68,0.36,0.64,0.44,0.12,0.36
25,0.44,0.24,0.4,0.2,0.24,0.24,0.48,0.32,0.44,0.24
26,0.4,0.28,0.2,0.36,0.36,0.52,0.64,0.28,0.4,0.24
27,0.44,0.56,0.56,0.2,0.28,0.36,0.24,0.32,0.32,0.44
28,0.28,0.48,0.24,0.2,0.32,0.32,0.56,0.4,0.4,0.44
29,0.32,0.32,0.32,0.28,0.28,0.4,0.32,0.24,0.36,0.6
