,config_0,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9
0,0.84,0.52,0.8,0.64,0.44,0.2,0.76,0.84,0.36,0.56
1,0.8,0.68,0.72,0.44,0.68,0.08,0.68,0.8,0.64,0.4
2,0.64,0.64,0.72,0.8,0.36,0.24,0.68,0.92,0.6,0.56
3,0.76,0.52,0.6,0.56,0.8,0.12,0.76,0.84,0.76,0.72
4,0.68,0.8,0.68,0.76,0.8,0.2,0.64,0.64,0.8,0.64
5,0.68,0.68,0.68,0.4,0.88,0.12,0.68,0.6,0.76,0.56
6,0.8,0.48,0.76,0.68,0.4,0.2,0.56,0.84,0.88,0.72
7,0.68,0.68,0.88,0.76,0.32,0.2,0.8,0.84,0.88,0.6
8,1.0,0.84,0.68,0.56,0.76,0.12,0.48,0.64,0.96,0.72
9,0.76,0.6,0.72,0.56,0.84,0.16,0.72,0.84,0.72,0.36
10,0.72,0.6,0.64,0.76,0.56,0.16,0.52,0.6,0.44,0.68
11,0.76,0.68,0.88,0.2,0.6,0.2,0.68,0.8,0.4,0.88
12,0.88,0.72,0.76,0.2,0.32,0.24,0.68,0.92,0.68,0.56
13,0.48,0.8,0.68,0.76,0.56,0.16,0.44,0.96,0.84,0.68
14,0.68,0.8,0.96,0.44,0.6,0.2,0.64,0.64,0.68,0.64
15,0.68,0.76,0.64,0.56,0.64,0.16,0.56,0.56,0.28,0.64
16,0.84,0.68,0.48,0.44,0.36,0.12,0.76,0.88,0.84,0.48
17,0.56,0.68,0.68,0.6,0.68,0.12,0.32,0.84,0.4,0.32
18,0.4,0.52,0.84,0.64,0.28,0.2,0.72,1.0,0.64,0.6
19,0.68,0.72,0.68,0.64,0.68,0.16,0.76,0.52,0.76,0.48
20,0.72,0.56,0.84,0.64,0.28,0.16,0.8,0.56,0.28,0.44
21,0.6,0.52,0.36,0.48,0.44,0.08,0.84,0.68,0.84,0.6
22,0.68,0.36,0.44,0.24,0.32,0.12,0.44,0.68,0.6,0.68
23,0.92,0.64,0.8,0.68,0.48,0.24,0.52,0.84,0.8,0.48
24,0.84,0.68,0.88,0.8,0.52,0.12,0.8,0.64,0.64,0.76
25,0.76,0.68,0.72,0.56,0.76,0.16,0.6,0.72,0.56,0.92
26,0.8,0.36,0.84,0.76,0.8,0.28,0.48,0.8,0.6,0.56
27,0.72,0.4,0.8,0.76,0.64,0.16,0.44,0.76,0.88,0.68
28,0.88,0.4,0.28,0.64,0.8,0.16,0.64,0.8,0.84,0.68
29,0.72,0.6,0.48,0.28,0.68,0.16,0.8,0.56,0.36,0.68
