,config_0,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9
0,1.0,0.96,1.0,0.92,0.84,0.2,0.92,0.96,0.6,0.96
1,0.88,0.84,0.68,0.8,0.96,0.16,0.64,1.0,0.96,0.92
2,1.0,0.92,0.76,0.6,0.92,0.16,0.8,0.92,0.48,0.88
3,0.84,0.48,0.92,0.84,0.88,0.16,1.0,0.92,0.8,0.96
4,0.92,1.0,0.92,0.96,0.92,0.16,0.92,1.0,0.84,0.84
5,0.96,0.88,0.96,0.68,0.88,0.2,1.0,0.92,0.84,0.96
6,0.92,0.92,0.92,0.76,0.88,0.24,1.0,0.84,0.88,0.52
7,0.92,0.88,1.0,0.96,0.84,0.2,0.96,0.92,0.88,0.72
8,0.96,0.92,0.76,0.68,0.44,0.2,0.92,0.92,0.92,0.88
9,0.92,0.88,0.96,0.92,0.84,0.2,0.96,0.88,0.8,0.48
10,0.92,1.0,0.92,0.92,0.76,0.16,0.92,0.72,0.64,0.88
11,0.92,0.92,0.88,0.72,0.48,0.24,0.84,1.0,0.88,0.88
12,0.96,0.96,1.0,0.84,0.6,0.16,1.0,0.92,0.8,0.84
13,0.88,0.96,0.84,0.96,0.88,0.2,0.84,0.92,0.88,0.92
14,0.92,0.56,1.0,0.56,0.88,0.16,0.92,0.96,0.84,0.84
15,0.52,1.0,0.92,0.96,0.84,0.16,0.8,0.96,1.0,0.76
16,0.92,0.84,0.92,1.0,0.88,0.16,0.48,0.96,0.68,1.0
17,0.48,0.96,1.0,1.0,0.44,0.12,0.92,0.92,0.88,0.84
18,0.88,0.88,0.96,0.96,0.52,0.16,1.0,0.96,0.56,0.92
19,1.0,0.88,0.8,0.96,0.92,0.08,0.92,0.92,0.92,0.92
20,0.92,0.92,0.52,0.96,0.4,0.24,0.92,0.96,0.76,0.96
21,0.96,0.84,0.8,0.92,0.48,0.12,0.92,0.56,0.96,1.0
22,0.92,0.96,0.92,0.56,0.84,0.12,1.0,1.0,0.96,0.92
23,0.88,0.8,0.92,1.0,0.88,0.16,0.92,1.0,0.96,0.92
24,0.88,0.64,0.68,1.0,0.92,0.12,0.84,0.96,0.88,0.56
25,1.0,0.92,0.96,0.8,0.8,0.16,0.88,0.88,0.92,1.0
26,0.92,0.56,0.96,0.96,0.92,0.12,1.0,0.88,0.92,1.0
27,0.68,0.84,0.88,0.92,0.6,0.2,0.92,0.92,0.96,0.92
28,1.0,0.76,0.92,0.88,0.72,0.2,0.92,1.0,0.92,0.8
29,0.6,0.96,0.88,0.96,0.72,0.12,0.36,0.96,0.8,0.92
